,Timestamp,Open,High,Low,Close,Volume,Signal,Pos,Equity_Curve
0,2019-01-01 00:00:00,130.8,131.07,130.0,130.0,254.708749,0.0,0.0,1.0
1,2019-01-01 00:15:00,130.0,130.93,130.0,130.49,207.2827897,,0.0,1.0
2,2019-01-01 00:30:00,130.49,131.39,130.25,131.39,386.76858264,,0.0,1.0
3,2019-01-01 00:45:00,131.39,131.7,130.81,131.1,439.67437206,,0.0,1.0
4,2019-01-01 01:00:00,131.1,131.1,128.72,130.0,386.76549,,0.0,1.0
5,2019-01-01 01:15:00,130.0,131.0,128.86,129.86,188.460162,,0.0,1.0
6,2019-01-01 01:30:00,129.86,130.99,129.46,130.88,116.065392,,0.0,1.0
7,2019-01-01 01:45:00,130.88,130.98,129.23,130.98,273.80149700000004,,0.0,1.0
8,2019-01-01 02:00:00,130.98,130.98,129.25,130.12,116.742599,,0.0,1.0
9,2019-01-01 02:15:00,130.12,130.64,130.0,130.04,597.679225,,0.0,1.0
10,2019-01-01 02:30:00,130.04,130.42,130.03,130.12,90.37895656,,0.0,1.0
11,2019-01-01 02:45:00,130.12,130.3,129.78,129.79,33.007599,,0.0,1.0
12,2019-01-01 03:00:00,129.79,130.5,129.79,130.5,718.81541,,0.0,1.0
13,2019-01-01 03:15:00,130.5,131.0,130.49,130.64,307.97735701,,0.0,1.0
14,2019-01-01 03:30:00,130.64,130.93,130.64,130.73,17.944169000000002,,0.0,1.0
15,2019-01-01 03:45:00,130.73,130.83,130.0,130.83,262.562355,,0.0,1.0
16,2019-01-01 04:00:00,130.83,133.75,130.83,132.53,355.059036,,0.0,1.0
17,2019-01-01 04:15:00,132.53,133.15,132.34,132.38,170.78409,,0.0,1.0
18,2019-01-01 04:30:00,132.38,132.5,131.27,132.24,373.890151,,0.0,1.0
19,2019-01-01 04:45:00,132.24,132.24,131.41,132.09,136.107188,,0.0,1.0
20,2019-01-01 05:00:00,132.09,132.26,132.09,132.14,160.450813,,0.0,1.0
21,2019-01-01 05:15:00,132.14,132.53,132.14,132.53,30.272568,,0.0,1.0
22,2019-01-01 05:30:00,132.53,132.53,132.28,132.32,222.394175,,0.0,1.0
23,2019-01-01 05:45:00,132.32,132.32,132.28,132.28,102.384389,,0.0,1.0
24,2019-01-01 06:00:00,132.28,132.85,132.28,132.74,127.35338747,,0.0,1.0
25,2019-01-01 06:15:00,132.74,132.74,132.72,132.73,26.277061,,0.0,1.0
26,2019-01-01 06:30:00,132.73,133.0,132.73,133.0,37.31448278,,0.0,1.0
27,2019-01-01 06:45:00,133.0,133.86,133.0,133.21,322.96092912,,0.0,1.0
28,2019-01-01 07:00:00,133.21,134.0,133.14,133.34,338.5827536,,0.0,1.0
29,2019-01-01 07:15:00,133.34,133.58,133.33,133.44,32.499313,,0.0,1.0
30,2019-01-01 07:45:00,133.44,133.54,133.0,133.54,166.00942144,,0.0,1.0
31,2019-01-01 08:00:00,133.54,133.54,133.24,133.24,312.912067,,0.0,1.0
32,2019-01-01 08:15:00,133.24,134.49,133.24,134.39,73.21260399999998,,0.0,1.0
33,2019-01-01 08:30:00,134.39,134.64,134.13,134.42,31.088230000000003,,0.0,1.0
34,2019-01-01 08:45:00,134.42,135.15,134.42,135.0,1213.5276290000002,,0.0,1.0
35,2019-01-01 09:00:00,135.0,135.0,133.69,133.77,796.524936,,0.0,1.0
36,2019-01-01 09:15:00,133.77,134.17,133.76,134.08,311.9175,,0.0,1.0
37,2019-01-01 09:30:00,134.08,134.08,133.33,133.73,183.045875,,0.0,1.0
38,2019-01-01 09:45:00,133.73,133.8,133.52,133.62,228.15145074,,0.0,1.0
39,2019-01-01 10:00:00,133.62,133.83,133.62,133.8,0.64627,,0.0,1.0
